FECHA_ANOTACION;VALOR;DESTINO_ECONOMICO;AREA_TERRENO;AREA_CONSTRUIDA;AVALUO; HAB; BAÑOS; LOCAL; PISOS;MAX_PUNT;POINT_X;POINT_Y;Latitud;Longitud;Latitud.1;Longitud.1;UTM waypoint Garmin;DISTANCIA - CBD (San Pio) metros;Estrato/Hacienda
2021-12-30 00:00:00;323355626;A;000000000015;000073;154703000;0;0;0;14;75;1372734.7049;10794319.7661;7.118494684698178;-73.12077927167861;"-7º -7' -6,581"" S";"73º 7' 14,805"" W";17 N 1372735 10794320;1142.14089088;4
2022-12-02 00:00:00;252690974;A;000000000011;000054;115901000;0;0;0;14;75;1372726.6498;10794308.2874;7.118393073810032;-73.12085329222771;"-7º -7' -6,215"" S";"73º 7' 15,072"" W";17 N 1372727 10794308;1150.56064901;4
2022-08-02 00:00:00;262147894;A;000000000011;000055;117020000;0;0;0;14;75;1372729.8797;10794300.4557;7.118322405749484;-73.12082552481195;"-7º -7' -5,961"" S";"73º 7' 14,972"" W";17 N 1372730 10794300;1147.65031936;4
2021-11-24 00:00:00;302459894;A;000000000013;000066;140812000;0;0;0;14;75;1372745.9073;10794292.6832;7.118250301551092;-73.1206829525282;"-7º -7' -5,701"" S";"73º 7' 14,459"" W";17 N 1372746 10794293;1132.01130057;4
2022-04-27 00:00:00;279436059;A;000000000012;000060;128232000;0;0;0;15;75;1372739.5718;10794308.3554;7.1183916973860635;-73.12073737098143;"-7º -7' -6,21"" S";"73º 7' 14,655"" W";17 N 1372740 10794308;1137.64505918;4
2022-05-18 00:00:00;328576500;A;000000000014;000066;141677000;0;0;0;15;75;1372734.5551;10794320.353;7.118499966318835;-73.12078052509358;"-7º -7' -6,6"" S";"73º 7' 14,81"" W";17 N 1372735 10794320;1142.2748053;4
2022-07-08 00:00:00;311365350;A;000000000013;000065;139235000;0;0;0;15;75;1372724.3334;10794316.0263;7.1184627700178496;-73.12087287979004;"-7º -7' -6,466"" S";"73º 7' 15,142"" W";17 N 1372724 10794316;1152.61556977;4
2021-12-24 00:00:00;215652162;A;000000000011;000054;115901000;0;0;0;15;75;1372726.6498;10794308.2874;7.118393073810032;-73.12085329222771;"-7º -7' -6,215"" S";"73º 7' 15,072"" W";17 N 1372727 10794308;1150.56064901;4
2021-11-04 00:00:00;264325926;A;000000000011;000055;117020000;0;0;0;15;75;1372729.8797;10794300.4557;7.118322405749484;-73.12082552481195;"-7º -7' -5,961"" S";"73º 7' 14,972"" W";17 N 1372730 10794300;1147.65031936;4
2022-05-03 00:00:00;265159765;A;000000000013;000066;140812000;0;0;0;15;75;1372745.4812;10794292.685;7.118250383156683;-73.12068677438073;"-7º -7' -5,701"" S";"73º 7' 14,472"" W";17 N 1372745 10794293;1132.43674504;4
2022-01-07 00:00:00;239912999;A;000000000012;000059;126362000;0;0;0;15;75;1372742.8673;10794300.234;7.118318423557362;-73.12070905972782;"-7º -7' -5,946"" S";"73º 7' 14,553"" W";17 N 1372743 10794300;1134.68527142;4
2021-11-24 00:00:00;262276790;A;000000000013;000066;140271000;0;0;0;16;75;1372739.6399;10794308.913;7.1183966829946135;-73.12073667433442;"-7º -7' -6,228"" S";"73º 7' 14,652"" W";17 N 1372740 10794309;1137.55630431;4
2021-11-30 00:00:00;305057575;A;000000000015;000072;153758000;0;0;0;16;75;1372734.6926;10794319.7875;7.118494878331475;-73.1207793787176;"-7º -7' -6,582"" S";"73º 7' 14,806"" W";17 N 1372735 10794320;1142.15260374;4
2021-12-15 00:00:00;302539232;A;000000000015;000072;153163000;0;0;0;16;75;1372723.8985;10794316.0615;7.118463152238843;-73.1208767754438;"-7º -7' -6,467"" S";"73º 7' 15,156"" W";17 N 1372724 10794316;1153.04920794;4
2022-06-23 00:00:00;257645699;A;000000000011;000054;115901000;0;0;0;16;75;1372726.6378;10794308.3088;7.118393267397233;-73.12085339657577;"-7º -7' -6,216"" S";"73º 7' 15,072"" W";17 N 1372727 10794308;1150.57184898;4
2022-05-12 00:00:00;245128499;A;000000000011;000055;117020000;0;0;0;16;75;1372729.8675;10794300.4772;7.118322600263374;-73.12082563093861;"-7º -7' -5,961"" S";"73º 7' 14,972"" W";17 N 1372730 10794300;1147.66156335;4
2022-06-03 00:00:00;349960050;A;000000000015;000072;154509000;0;0;0;16;75;1372745.8951;10794292.7045;7.118250494272956;-73.12068305868556;"-7º -7' -5,702"" S";"73º 7' 14,459"" W";17 N 1372746 10794293;1132.02238982;4
2022-04-01 00:00:00;307714500;A;000000000013;000060;129108000;0;0;0;17;75;1372739.6399;10794308.913;7.1183966829946135;-73.12073667433442;"-7º -7' -6,228"" S";"73º 7' 14,652"" W";17 N 1372740 10794309;1137.55630431;4
2022-06-09 00:00:00;328054950;A;000000000014;000066;141696000;0;0;0;17;75;1372734.6926;10794319.7875;7.118494878331475;-73.1207793787176;"-7º -7' -6,582"" S";"73º 7' 14,806"" W";17 N 1372735 10794320;1142.15260374;4
2022-07-22 00:00:00;333792000;A;000000000014;000065;140008000;0;0;0;17;75;1372723.8985;10794316.0615;7.118463152238843;-73.1208767754438;"-7º -7' -6,467"" S";"73º 7' 15,156"" W";17 N 1372724 10794316;1153.04920794;4
2022-03-03 00:00:00;237738710;A;000000000011;000054;115901000;0;0;0;17;75;1372726.6378;10794308.3088;7.118393267397233;-73.12085339657577;"-7º -7' -6,216"" S";"73º 7' 15,072"" W";17 N 1372727 10794308;1150.57184898;4
2022-04-27 00:00:00;233733238;A;000000000011;000055;117020000;0;0;0;17;75;1372729.8675;10794300.4772;7.118322600263374;-73.12082563093861;"-7º -7' -5,961"" S";"73º 7' 14,972"" W";17 N 1372730 10794300;1147.66156335;4
2022-03-01 00:00:00;302570973;A;000000000015;000073;154703000;0;0;0;18;75;1372734.5551;10794320.353;7.118499966318835;-73.12078052509358;"-7º -7' -6,6"" S";"73º 7' 14,81"" W";17 N 1372735 10794320;1142.2748053;4
2021-12-29 00:00:00;320169114;A;000000000013;000065;139235000;0;0;0;18;75;1372724.3334;10794316.0263;7.1184627700178496;-73.12087287979004;"-7º -7' -6,466"" S";"73º 7' 15,142"" W";17 N 1372724 10794316;1152.61556977;4
2022-08-02 00:00:00;259731899;A;000000000011;000054;115901000;0;0;0;18;75;1372726.6498;10794308.2874;7.118393073810032;-73.12085329222771;"-7º -7' -6,215"" S";"73º 7' 15,072"" W";17 N 1372727 10794308;1150.56064901;4
2022-07-28 00:00:00;255559499;A;000000000011;000055;117020000;0;0;0;18;75;1372729.8797;10794300.4557;7.118322405749484;-73.12082552481195;"-7º -7' -5,961"" S";"73º 7' 14,972"" W";17 N 1372730 10794300;1147.65031936;4
2022-07-25 00:00:00;280763229;A;000000000015;000076;161681000;0;0;0;18;75;1372735.2722;10794287.8326;7.118208474625128;-73.12077909594899;"-7º -7' -5,551"" S";"73º 7' 14,805"" W";17 N 1372735 10794288;1142.88974677;4
2021-12-21 00:00:00;318557524;A;000000000013;000066;140812000;0;0;0;18;75;1372745.4812;10794292.685;7.118250383156683;-73.12068677438073;"-7º -7' -5,701"" S";"73º 7' 14,472"" W";17 N 1372745 10794293;1132.43674504;4
2021-12-30 00:00:00;292772092;A;000000000012;000059;126362000;0;0;0;18;75;1372742.8673;10794300.234;7.118318423557362;-73.12070905972782;"-7º -7' -5,946"" S";"73º 7' 14,553"" W";17 N 1372743 10794300;1134.68527142;4
2022-10-27 00:00:00;323361000;A;000000000012;000060;128232000;0;0;0;19;75;1372739.5718;10794308.3554;7.1183916973860635;-73.12073737098143;"-7º -7' -6,21"" S";"73º 7' 14,655"" W";17 N 1372740 10794308;1137.64505918;4
2022-03-01 00:00:00;302499000;A;000000000014;000066;141677000;0;0;0;19;75;1372734.5551;10794320.353;7.118499966318835;-73.12078052509358;"-7º -7' -6,6"" S";"73º 7' 14,81"" W";17 N 1372735 10794320;1142.2748053;4
2021-11-26 00:00:00;275062335;A;000000000011;000054;115901000;0;0;0;19;75;1372726.6498;10794308.2874;7.118393073810032;-73.12085329222771;"-7º -7' -6,215"" S";"73º 7' 15,072"" W";17 N 1372727 10794308;1150.56064901;4
2022-10-21 00:00:00;260774999;A;000000000011;000055;117020000;0;0;0;19;75;1372729.8797;10794300.4557;7.118322405749484;-73.12082552481195;"-7º -7' -5,961"" S";"73º 7' 14,972"" W";17 N 1372730 10794300;1147.65031936;4
2021-12-30 00:00:00;299320840;A;000000000013;000066;140785000;0;0;0;19;75;1372745.4812;10794292.685;7.118250383156683;-73.12068677438073;"-7º -7' -5,701"" S";"73º 7' 14,472"" W";17 N 1372745 10794293;1132.43674504;4
2022-10-03 00:00:00;286913066;A;000000000013;000063;136073000;0;0;0;20;75;1372734.6926;10794319.7875;7.118494878331475;-73.1207793787176;"-7º -7' -6,582"" S";"73º 7' 14,806"" W";17 N 1372735 10794320;1142.15260374;4
2022-10-27 00:00:00;230706551;A;000000000011;000054;115874000;0;0;0;20;75;1372726.6378;10794308.3088;7.118393267397233;-73.12085339657577;"-7º -7' -6,216"" S";"73º 7' 15,072"" W";17 N 1372727 10794308;1150.57184898;4
